id,amenity_id,beauty_salon_id
56,1,49
628,1,392
682,1,424
1726,1,970
1965,1,1109
2073,1,1171
2767,1,1721
2869,1,1807
2939,1,1858
3898,1,2589
4177,1,2779
4603,1,3173
4653,1,3211
4949,1,3417
4964,1,3432
5446,1,3802
6338,1,4423
6450,1,4504
6798,1,4790
6954,1,4983
7771,1,5497
8640,1,6267
9732,1,7006
10858,1,8072
12958,1,9636
13069,1,9766
13905,1,10546
16115,1,11646
16832,1,12094
17069,1,12274
18312,1,13326
18624,1,13556
22190,1,17750
22326,1,18042
22618,1,18471
22687,1,18595
22841,1,18901
22901,1,18994
23380,1,20503
23711,1,21090
23735,1,21137
23879,1,21388
25054,1,23692
25115,1,23781
25992,1,25368
26116,1,25655
26625,1,26957
26689,1,27055
26691,1,27058
26740,1,27281
27523,1,31608
27649,1,33958
27815,1,34736
27991,1,35342
439,1,41334
1415,1,42967
1578,1,43189
2793,1,54970
2814,1,55043
6403,1,62639
6685,1,62966
7028,1,63361
8351,1,64991
10237,1,67615
10490,1,67938
12326,1,70939
12365,1,71028
12985,1,72111
13653,1,73087
13923,1,73438
14202,1,73596
15280,1,74366
16695,1,75114
17191,1,75971
18350,1,77867
18879,1,78749
19127,1,79013
257,1,80418
513,1,80621
1175,1,81252
1176,1,81253
1591,1,81915
2716,1,83662
3005,1,83989
5215,1,87567
5399,1,87818
6128,1,88719
6290,1,88916
6819,1,89480
7318,1,90462
9612,1,94485
10376,1,96534
10442,1,96705
10529,1,96988
11068,1,97876
11272,1,98469
12389,1,100074
14196,1,103075
14198,1,103076
14235,1,103118
14346,1,103404
17238,1,110905
17257,1,110917
17584,1,111143
17607,1,111159
18994,1,112502
19743,1,113247
20222,1,114168
20453,1,114590
21558,1,118208
21820,1,119330
21869,1,119368
21996,1,119708
22005,1,119733
132,1,120379
281,1,121443
1553,1,123051
1634,1,123121
1651,1,123130
1789,1,123401
1838,1,123530
4096,1,127050
5492,1,129818
6040,1,130604
8097,1,132753
8122,1,132794
8152,1,132814
10173,1,135035
10205,1,135136
11450,1,139411
11451,103,139415
11452,274,139415
11453,264,139415
11707,1,139968
12202,1,140388
12843,1,141131
13391,1,141969
13883,1,142453
14286,1,142823
14870,1,143353
14930,1,143387
15082,1,143482
19638,1,149426
19821,1,150640
20487,1,153849
21284,1,155634
21638,1,157147
21686,1,157331
22558,1,161871
22661,1,162085
22689,1,162124
