id,ts,title,_yf_slug,website,telephone,address,postal_code,latitude,longitude,email,opening_hours,description,brand,service_product,reviews,average_star
5,2023-10-09 05:18:10,Baker Sara Electrolysis,/birmingham-al/bpp/baker-sara-electrolysis-10038768?lid=1001616285489,http://sarabakerelectrolysis.com,205-414-1194,"3507 Old Montgomery Hwy, Birmingham, AL, 35209",35209,33.470684,-86.78189,,,,,,,
49,2023-10-09 05:41:04,Giermanski Sherry Electrologist,/montgomery-al/bpp/giermanski-sherry-electrologist-29299,http://unwantedhairsolutions.com,334-215-8035,"2101 Eastern Blvd, Montgomery, AL, 36117",36117,32.351845,-86.219406,,"""Mo-Th 09:00-17:00"",""Fr 08:00-17:00"",""Sa 09:00-17:00""","Sherry Giermanski, Electrologist provides electrolysis ""Electrolysis is considered a permanent hair removal method, since it destroys the hair follicle"", body sugaring, bikini lines and eyelash extensions. Electrology is permanent hair removal unlike some laser hair removal, eyelash extensions, hair loss, perming eyelashes, tinting eyelashes",,Electrolysis Hair Removal Eyelash Extensions Body Sugaring Brazilian,,
165,2023-10-09 06:14:33,Santa Fe Massage and Wellness,/hoover-al/bpp/santa-fe-massage-and-wellness-557420765,https://santafemassageandwellness.com,205-408-7221,"611 Doug Baker Blvd Ste 214D, Hoover, AL, 35242",35242,33.40899,-86.66639,santafedayspa@aol.com,"""Mo-Sa 09:00-19:00""",,,,,
392,2023-10-09 07:19:27,The Lash and Sugar Company,/gilbert-az/bpp/the-lash-and-sugar-company-503995950,http://www.thelashandsugarcompany.com,480-268-9341,"2168 E Williams Field Rd, Gilbert, AZ, 85295",85295,33.307003,-111.7444,vanessa@pinksthebeautyboutique.com,"""Mo-Fr 10:00-19:00"",""Sa 10:00-18:00"",""Su 11:00-18:00""",,,"Eyelash Extensions, Sugaring Hair Removal, Lash Training",,
424,2023-10-09 07:29:31,Waxing The City,/tempe-az/bpp/waxing-the-city-505263450,http://www.waxingthecity.com/locations/w25/us/az/tempe,480-929-9111,"1804 E Southern Ave, Tempe, AZ, 85282",85282,33.39309,-111.90885,tempeaz@waxingthecity.com,"""Mo-Fr 09:00-19:00"",""Sa 09:00-17:00"",""Su 10:00-16:00""","You deserve to Look Great and Feel Awesome. At Waxing the City Tempe, we believe YOU are at your best when YOU feel Beautiful, Confident and simply put, Awesome. We are a studio devoted exclusively to the art of waxing, but that's not all. Whether you've been waxing for years or it's your first time, we understand. It's our mission to provide a surprisingly personable experience in a welcoming and fun, team-based environment.",,,,
611,2023-10-09 08:21:05,Nelda Wray & Brandi Wray Located at Fort Smith Wellness,/fort-smith-ar/bpp/nelda-wray-brandi-wray-located-at-fort-smith-wellness-455321841?lid=1001893327792,http://www.fortsmithwellness.com,479-719-5850,"6108 S 31st St, Fort Smith, AR, 72908",72908,35.324863,-94.40104,,"""Mo-Fr 09:00-18:30"",""Sa 09:00-15:00""","Effective For Over 100 Yrs-All Skin Types. Electrolysis, Waxing, Massage",,"Massage, Electrolysis Permanent Hair Removal",,
970,2023-10-09 10:51:20,Brazilian Wax Boutique,/bakersfield-ca/bpp/brazilian-wax-boutique-461569153,http://www.brazilianwaxboutique.com,661-397-4647,"600 Coffee Rd Ste F, Bakersfield, CA, 93309",93309,35.360947,-119.09185,brazilianwaxboutique@gmail.com,"""Mo-Fr 10:00-18:00"",""Sa-Su 10:00-15:00""",,,,,
1068,2023-10-09 11:21:07,Salon Design,/riverside-ca/bpp/salon-design-11341582?lid=1000439689651,,951-359-5069,"3430 La Sierra Ave, Riverside, CA, 92503",92503,33.897797,-117.47184,brentnadig@yahoo.com,"""Mo-Fr 09:00-17:00""","Welcome to Salon Design. We are a full service providing the latest styles and color for the whole family. We welcome walk-ins as well as last minute appointments. We are trainined in the newest technology for hair care and treatments. Our expert stylists can help you look your best from hair to make-up. The team at Salon Design is ready to create the look you want. Our Stylist are trained in all aspects of hair, make-up and waxing. Hair weaving and extensions are our specialty Contact us today for your make-over Or book appointment online for your convenience",,"Hair Designer Cuts and Perms for Men, Women and Children Color-Inspire Hi-Lites Power Hydro Mas Chemistry System Deep Conditioning Extensions Micro-Cylinder Keratin Crystal Eyelash Touch Up Waxing Brow Lower Legs Chin Full Legs Lip Bikini Face Underarm",,
1071,2023-10-09 11:21:39,Bollywood Threading,/riverside-ca/bpp/bollywood-threading-461924569,,951-688-3000,"10349 Magnolia Ave, Riverside, CA, 92505",92505,33.911545,-117.4625,,"""Mo-We 09:00-19:00"",""Th-Sa 09:00-20:00"",""Su 10:00-18:00""","Want to look flawless and feel fabulous? Leave it to the experts at Bollywood for threading, lashes, highlights, cuts, bridal makeup, henna, eyebrow tinting, ear and nose piercing, brazilian waxing and more.",,,,
1109,2023-10-09 11:32:30,Bobbie's Electrology,/stockton-ca/bpp/bobbies-electrology-474719225?lid=413585793,http://www.bobbieselectrology.com,209-483-8699,"5250 Claremont Ave, Stockton, CA, 95207",95207,37.998886,-121.310074,,"""Mo-Fr 08:00-19:00"",""Sa 08:00-14:00""","Providing ONLY FDA approved PERMANENT hair removal method for the face and body in a private, clean, quiet, professional office environment. Can help with hormone & endocrine related cases and former laser clients. Improves appearance and eliminates wasted time.",,Permanent Hair Removal for the face and body California State Licensed Electrologist Member of American and Northern California Electrology Association Member of Lodi Chamber Of Commerce,,
