id,ts,key,value,beauty_salon_id
318,2023-10-09 05:41:04,Wheelchair Accessible,Yes,49
319,2023-10-09 05:41:04,By Appointment Only,Yes,49
3605,2023-10-09 07:19:27,Bike Parking,Yes,392
3606,2023-10-09 07:19:27,Parking,Street,392
3607,2023-10-09 07:19:27,Wheelchair Accessible,Yes,392
3608,2023-10-09 07:19:27,By Appointment Only,No,392
3609,2023-10-09 07:19:27,Price Range,Average,392
3898,2023-10-09 07:29:31,Parking,"Lot, Private",424
3899,2023-10-09 07:29:31,Bike Parking,Yes,424
3900,2023-10-09 07:29:31,Price Range,Average,424
3901,2023-10-09 07:29:31,By Appointment Only,No,424
5978,2023-10-09 08:21:05,Price Range,Average,611
9881,2023-10-09 10:51:20,Parking,"Lot, Private",970
9882,2023-10-09 10:51:20,Bike Parking,Yes,970
9883,2023-10-09 10:51:20,Wheelchair Accessible,Yes,970
9884,2023-10-09 10:51:20,By Appointment Only,Yes,970
9885,2023-10-09 10:51:20,Price Range,Average,970
10846,2023-10-09 11:21:07,Price Range,Average,1068
10847,2023-10-09 11:21:07,By Appointment Only,No,1068
10872,2023-10-09 11:21:39,Parking,"Lot, Private",1071
10873,2023-10-09 11:21:39,Bike Parking,No,1071
10874,2023-10-09 11:21:39,Price Range,Below Average,1071
10875,2023-10-09 11:21:39,By Appointment Only,No,1071
11281,2023-10-09 11:32:30,Parking,"Lot, Self, On Site, Free",1109
11282,2023-10-09 11:32:30,Wheelchair Accessible,Yes,1109
11283,2023-10-09 11:32:30,Price Range,Below Average,1109
11284,2023-10-09 11:32:30,By Appointment Only,Yes,1109
11803,2023-10-09 11:55:12,Parking,"Lot, Private",1171
11804,2023-10-09 11:55:12,Wheelchair Accessible,Yes,1171
11805,2023-10-09 11:55:12,Price Range,Average,1171
11806,2023-10-09 11:55:12,By Appointment Only,Yes,1171
15852,2023-10-09 14:48:41,Price Range,Average,1721
15853,2023-10-09 14:48:41,Wheelchair Accessible,Yes,1721
15854,2023-10-09 14:48:41,Parking,"Lot, Private",1721
15855,2023-10-09 14:48:41,Bike Parking,Yes,1721
15856,2023-10-09 14:48:41,By Appointment Only,Yes,1721
15857,2023-10-09 14:48:41,Specialties,"Extensions, Perms, Curly Hair, Coloring, Kids' Hair",1721
16403,2023-10-09 15:09:48,Price Range,Average,1807
16404,2023-10-09 15:09:48,Wheelchair Accessible,Yes,1807
16405,2023-10-09 15:09:48,Bike Parking,Yes,1807
16406,2023-10-09 15:09:48,By Appointment Only,Yes,1807
16775,2023-10-09 15:19:37,Price Range,Below Average,1858
16776,2023-10-09 15:19:37,By Appointment Only,Yes,1858
18196,2023-10-09 16:32:03,Parking,"Lot, Private",2063
18197,2023-10-09 16:32:03,Price Range,Average,2063
18198,2023-10-09 16:32:03,By Appointment Only,Yes,2063
22020,2023-10-09 19:09:56,Bike Parking,Yes,2589
22021,2023-10-09 19:09:56,Wheelchair Accessible,Yes,2589
22022,2023-10-09 19:09:56,Price Range,Average,2589
22023,2023-10-09 19:09:56,Parking,"Street, Lot, Self, Private",2589
22024,2023-10-09 19:09:56,By Appointment Only,No,2589
23577,2023-10-09 19:52:24,Parking,"Garage, Street",2779
23578,2023-10-09 19:52:24,Wheelchair Accessible,Yes,2779
23579,2023-10-09 19:52:24,Price Range,Average,2779
23580,2023-10-09 19:52:24,By Appointment Only,Yes,2779
25922,2023-10-09 21:51:30,Parking,"Lot, Private",3173
25923,2023-10-09 21:51:30,Wheelchair Accessible,Yes,3173
25924,2023-10-09 21:51:30,Price Range,Average,3173
25925,2023-10-09 21:51:30,By Appointment Only,Yes,3173
26174,2023-10-09 22:04:58,Parking,Garage,3211
26175,2023-10-09 22:04:58,Bike Parking,Yes,3211
26176,2023-10-09 22:04:58,Wheelchair Accessible,Yes,3211
26177,2023-10-09 22:04:58,By Appointment Only,Yes,3211
27803,2023-10-09 23:18:16,Price Range,Below Average,3417
27804,2023-10-09 23:18:16,Wheelchair Accessible,Yes,3417
27805,2023-10-09 23:18:16,Parking,"Lot, Private",3417
27806,2023-10-09 23:18:16,Bike Parking,Yes,3417
27807,2023-10-09 23:18:16,By Appointment Only,Yes,3417
27902,2023-10-09 23:26:20,Parking,"Street, Lot, Self, On Site, Free",3432
27903,2023-10-09 23:26:20,Wheelchair Accessible,Yes,3432
27904,2023-10-09 23:26:20,Price Range,Average,3432
27905,2023-10-09 23:26:20,By Appointment Only,Yes,3432
30177,2023-10-10 00:58:03,Bike Parking,No,3759
30178,2023-10-10 00:58:03,By Appointment Only,Yes,3759
30623,2023-10-10 01:12:07,Price Range,Above Average,3802
30624,2023-10-10 01:12:07,By Appointment Only,Yes,3802
30696,2023-10-10 01:13:17,Bike Parking,Yes,3807
30697,2023-10-10 01:13:17,Parking,Lot,3807
30698,2023-10-10 01:13:17,By Appointment Only,Yes,3807
30699,2023-10-10 01:13:17,Price Range,Average,3807
32582,2023-10-10 02:42:36,Bike Parking,Yes,4064
32583,2023-10-10 02:42:36,Parking,"Street, Lot, Private",4064
32584,2023-10-10 02:42:36,Wheelchair Accessible,No,4064
32585,2023-10-10 02:42:36,By Appointment Only,Yes,4064
32586,2023-10-10 02:42:36,Price Range,Below Average,4064
32587,2023-10-10 02:42:36,Pets Allowed,No,4064
34244,2023-10-10 04:05:19,Parking,"Self, On Site, Free, Private",4306
35367,2023-10-10 04:56:31,Parking,Street,4423
35368,2023-10-10 04:56:31,Bike Parking,Yes,4423
35369,2023-10-10 04:56:31,Wheelchair Accessible,Yes,4423
35370,2023-10-10 04:56:31,By Appointment Only,No,4423
35371,2023-10-10 04:56:31,Price Range,Average,4423
35904,2023-10-10 05:26:38,Wheelchair Accessible,Yes,4504
35905,2023-10-10 05:26:38,Price Range,Above Average,4504
38208,2023-10-10 07:46:35,Bike Parking,Yes,4983
38209,2023-10-10 07:46:35,Parking,"Lot, Private",4983
38210,2023-10-10 07:46:35,Wheelchair Accessible,Yes,4983
38211,2023-10-10 07:46:35,By Appointment Only,No,4983
42348,2023-10-10 10:44:37,Price Range,Average,5497
42349,2023-10-10 10:44:37,Bike Parking,Yes,5497
42350,2023-10-10 10:44:37,Wheelchair Accessible,Yes,5497
42351,2023-10-10 10:44:37,Parking,"Lot, Private",5497
47243,2023-10-10 14:45:35,Parking,"Lot, Private",6267
47244,2023-10-10 14:45:35,Wheelchair Accessible,Yes,6267
47245,2023-10-10 14:45:35,Price Range,Average,6267
47246,2023-10-10 14:45:35,By Appointment Only,Yes,6267
49868,2023-10-10 16:34:49,By Appointment Only,Yes,6601
53241,2023-10-10 18:55:32,Parking,Lot,7006
53882,2023-10-10 19:51:00,Parking,"Lot, Private",7101
53883,2023-10-10 19:51:00,Bike Parking,No,7101
53884,2023-10-10 19:51:00,Price Range,Average,7101
53885,2023-10-10 19:51:00,By Appointment Only,Yes,7101
55532,2023-10-10 22:06:19,Services,Liposuction,7354
56766,2023-10-10 23:38:26,Parking,Street,7498
56767,2023-10-10 23:38:26,Wheelchair Accessible,No,7498
56768,2023-10-10 23:38:26,Price Range,Average,7498
56769,2023-10-10 23:38:26,Bike Parking,Yes,7498
56770,2023-10-10 23:38:26,By Appointment Only,Yes,7498
57264,2023-10-11 00:21:55,Parking,"Lot, Private",7572
57265,2023-10-11 00:21:55,Bike Parking,Yes,7572
57266,2023-10-11 00:21:55,Wheelchair Accessible,No,7572
57267,2023-10-11 00:21:55,Price Range,Average,7572
57268,2023-10-11 00:21:55,By Appointment Only,Yes,7572
57998,2023-10-11 01:08:36,Parking,"Street, Lot",7690
59945,2023-10-11 04:18:46,By Appointment Only,Yes,8060
59946,2023-10-11 04:18:46,Price Range,Average,8060
63217,2023-10-11 08:09:05,Bike Parking,Yes,8643
63218,2023-10-11 08:09:05,Price Range,Average,8643
63219,2023-10-11 08:09:05,By Appointment Only,Yes,8643
67108,2023-10-11 10:13:09,Parking,"Lot, Self, On Site, Free",9054
67109,2023-10-11 10:13:09,Wheelchair Accessible,No,9054
67110,2023-10-11 10:13:09,Price Range,Average,9054
67111,2023-10-11 10:13:09,By Appointment Only,Yes,9054
71471,2023-10-11 12:45:49,Specialties,"Perms, Curly Hair, Coloring, Kids' Hair",9636
71472,2023-10-11 12:45:49,Parking,Free,9636
71473,2023-10-11 12:45:49,Wheelchair Accessible,Yes,9636
71474,2023-10-11 12:45:49,Price Range,Average,9636
71475,2023-10-11 12:45:49,Bike Parking,No,9636
71476,2023-10-11 12:45:49,By Appointment Only,No,9636
71855,2023-10-11 13:00:34,Parking,"Lot, Self, On Site, Free",9722
72091,2023-10-11 13:14:12,Wheelchair Accessible,Yes,9766
72092,2023-10-11 13:14:12,Parking,"Lot, Private",9766
72093,2023-10-11 13:14:12,Bike Parking,Yes,9766
76227,2023-10-11 17:02:44,Specialties,Dermatology,10546
83096,2023-10-12 01:20:43,Bike Parking,No,11211
83097,2023-10-12 01:20:43,Price Range,Average,11211
83098,2023-10-12 01:20:43,By Appointment Only,Yes,11211
84328,2023-10-12 03:10:54,Parking,Lot,11343
85041,2023-10-12 04:16:38,Parking,"Lot, Private",11408
85042,2023-10-12 04:16:38,Price Range,Average,11408
85043,2023-10-12 04:16:38,By Appointment Only,Yes,11408
87907,2023-10-12 06:32:03,Parking,"Garage, Street, Valet",11646
87908,2023-10-12 06:32:03,Bike Parking,Yes,11646
87909,2023-10-12 06:32:03,Wheelchair Accessible,Yes,11646
87910,2023-10-12 06:32:03,By Appointment Only,No,11646
91079,2023-10-12 07:53:27,By Appointment Only,Yes,11965
91937,2023-10-12 09:01:31,Parking,"Lot, Private",12094
91938,2023-10-12 09:01:31,Bike Parking,Yes,12094
91939,2023-10-12 09:01:31,Wheelchair Accessible,Yes,12094
91940,2023-10-12 09:01:31,Price Range,Average,12094
91941,2023-10-12 09:01:31,By Appointment Only,No,12094
93325,2023-10-12 10:34:11,Bike Parking,No,12274
93326,2023-10-12 10:34:11,Parking,"Street, Lot, Private",12274
93327,2023-10-12 10:34:11,Wheelchair Accessible,Yes,12274
93328,2023-10-12 10:34:11,By Appointment Only,No,12274
100073,2023-10-12 17:11:30,Parking,"Street, Free",13326
