id,beauty_salon_id,category_id
21,5,1
24,5,5
20,5,20
22,5,22
23,5,23
25,5,25
26,5,26
27,5,27
786,49,1
787,49,4
788,49,5
785,49,23
789,49,69
2688,165,1
2689,165,4
2691,165,5
2692,165,6
2690,165,23
2693,165,71
5716,392,1
5717,392,4
5719,392,5
5718,392,23
5721,392,75
5720,392,956
6080,424,1
6079,424,5
6081,424,23
9119,611,1
9120,611,5
9118,611,23
9121,611,71
14224,970,1
14226,970,4
14223,970,5
14228,970,6
14230,970,7
14225,970,22
14227,970,23
14231,970,40
14229,970,71
15922,1068,1
15924,1068,3
15925,1068,4
15928,1068,5
15929,1068,6
15923,1068,9
15926,1068,23
15931,1068,47
15930,1068,69
15927,1068,88
15961,1071,1
15962,1071,3
15963,1071,4
15965,1071,5
15966,1071,20
15964,1071,23
16555,1109,1
16556,1109,4
16558,1109,5
16557,1109,23
16560,1109,40
16559,1109,69
17502,1171,1
17505,1171,4
17507,1171,5
17509,1171,20
17504,1171,22
17506,1171,23
17501,1171,40
17508,1171,70
17503,1171,1920
19552,1351,1
19556,1351,5
19555,1351,23
19564,1351,40
19557,1351,69
19553,1351,276
19558,1351,448
19559,1351,956
19560,1351,957
19561,1351,958
19562,1351,961
19554,1351,2500
19563,1351,18668
19551,1351,19551
24830,1721,1
24831,1721,4
24833,1721,5
24834,1721,6
24835,1721,7
24832,1721,23
25651,1807,1
25650,1807,4
25654,1807,5
25652,1807,22
25653,1807,23
25658,1807,40
25655,1807,69
25656,1807,71
25657,1807,1643
26230,1858,1
26231,1858,4
26229,1858,5
26232,1858,23
26236,1858,40
26233,1858,957
26234,1858,958
26235,1858,960
29199,2063,1
29200,2063,3
29201,2063,4
29203,2063,5
29202,2063,23
29197,2063,40
29204,2063,70
29205,2063,71
29206,2063,75
29198,2063,81
36663,2578,1
36665,2578,5
36664,2578,23
36857,2589,1
36856,2589,4
36860,2589,5
36858,2589,22
36859,2589,23
36865,2589,27
36864,2589,40
36861,2589,69
36862,2589,70
36863,2589,71
39601,2779,1
39602,2779,23
39603,2779,40
45059,3173,1
45062,3173,3
45063,3173,4
45065,3173,5
45066,3173,6
45069,3173,7
45070,3173,20
45064,3173,23
45061,3173,36
45071,3173,40
45067,3173,70
45068,3173,71
45060,3173,1920
45631,3211,1
45632,3211,4
45630,3211,5
45633,3211,23
45639,3211,40
45634,3211,71
45640,3211,376
45635,3211,956
45636,3211,957
45638,3211,960
45637,3211,3751
48634,3417,1
48635,3417,5
48633,3417,23
48833,3432,1
48835,3432,5
48836,3432,6
48832,3432,23
48838,3432,40
48834,3432,50
48837,3432,71
53156,3759,1
53157,3759,5
53158,3759,6
53155,3759,23
53936,3802,1
53937,3802,5
53938,3802,6
53935,3802,23
54074,3807,1
54075,3807,4
54073,3807,5
54076,3807,23
54080,3807,40
54077,3807,71
54078,3807,956
54079,3807,960
58377,4064,1
58379,4064,5
58378,4064,23
58382,4064,40
58376,4064,276
58381,4064,31747
58380,4064,46715
59114,4102,1
59115,4102,4
59113,4102,5
59117,4102,20
59116,4102,23
59123,4102,40
59118,4102,957
59120,4102,958
59121,4102,960
59122,4102,1643
59124,4102,1932
59119,4102,3751
62391,4306,1
62390,4306,5
62392,4306,23
62393,4306,40
62475,4310,1
62476,4310,5
62474,4310,23
64395,4423,1
64394,4423,5
64396,4423,23
65399,4504,1
65400,4504,3
65401,4504,4
65403,4504,5
65404,4504,6
65406,4504,7
65402,4504,23
65407,4504,40
65408,4504,75
65405,4504,153
69556,4790,1
69557,4790,4
69558,4790,5
69555,4790,23
69560,4790,40
69559,4790,69
69561,4790,75
71870,4983,1
71871,4983,4
71869,4983,5
71872,4983,23
80741,5497,1
80743,5497,4
80745,5497,5
80744,5497,23
80742,5497,36
80749,5497,40
80747,5497,71
80750,5497,75
80746,5497,153
80748,5497,956
86143,5917,1
86144,5917,5
86142,5917,23
91104,6267,1
91105,6267,5
91106,6267,6
91103,6267,23
91109,6267,40
91107,6267,70
91108,6267,71
94723,6482,1
94724,6482,5
94722,6482,23
