id,city_id,beauty_salon_id
5,1,5
49,2,49
165,6,165
14966,1,165
392,14,392
28726,10,392
50608,15,392
424,15,424
23611,8,424
27126,10,424
33982,11,424
40775,13,424
44769,14,424
611,21,611
970,33,970
1068,36,1068
131597,41,1068
136883,44,1068
139103,45,1068
167461,52,1068
171047,53,1068
175956,57,1068
404797,121,1068
1071,36,1071
135032,44,1071
139104,45,1071
175958,57,1071
404807,121,1071
1109,37,1109
1171,40,1171
105955,35,1171
1351,46,1351
1721,58,1721
1807,61,1807
1858,62,1858
283768,83,1858
377495,112,1858
2063,69,2063
220492,67,2063
2578,86,2578
306174,90,2578
406628,122,2578
2589,87,2589
143010,46,2589
2779,94,2779
369964,110,2779
3173,107,3173
3211,109,3211
109187,35,3211
126499,40,3211
147275,47,3211
161724,49,3211
212872,65,3211
259612,78,3211
331572,99,3211
351897,105,3211
3417,115,3417
3432,116,3432
3759,127,3759
440486,134,3759
3802,128,3802
445489,138,3802
3807,128,3807
445493,138,3807
4064,137,4064
445915,138,4064
4102,138,4102
419660,128,4102
4306,145,4306
4310,145,4310
4423,149,4423
4504,152,4504
521489,164,4504
4790,161,4790
4983,168,4983
516593,163,4983
543565,174,4983
545108,175,4983
552697,181,4983
5497,185,5497
5917,199,5917
6267,210,6267
588016,212,6267
591765,214,6267
6482,218,6482
6601,222,6601
7006,235,7006
7101,239,7101
7147,241,7147
7354,248,7354
33512,255,7354
36989,256,7354
52319,260,7354
7498,252,7498
33755,255,7498
37745,256,7498
48828,258,7498
52967,260,7498
613388,248,7498
7518,253,7518
41440,257,7518
7572,255,7572
24020,252,7572
27000,254,7572
47803,258,7572
55929,260,7572
7690,259,7690
40088,256,7690
8060,271,8060
67133,263,8060
68973,264,8060
97205,272,8060
103744,275,8060
106808,276,8060
8072,272,8072
81910,269,8072
85993,270,8072
91108,271,8072
103488,275,8072
109888,276,8072
8643,291,8643
135876,289,8643
9001,303,9001
159304,304,9001
9054,304,9054
17082,251,9054
51488,259,9054
9636,324,9636
222108,321,9636
234787,325,9636
9722,327,9722
9766,328,9766
10546,354,10546
10862,365,10862
11131,374,11131
313700,372,11131
321289,375,11131
11211,376,11211
11343,381,11343
11408,383,11408
11470,385,11470
11491,386,11491
11646,391,11646
378491,401,11646
383784,403,11646
403432,411,11646
420762,420,11646
11965,402,11965
12094,408,12094
447369,430,12094
448493,431,12094
451262,434,12094
12274,414,12274
368435,397,12274
397803,407,12274
403477,411,12274
420773,420,12274
423593,422,12274
434696,426,12274
13326,449,13326
13556,456,13556
13563,457,13563
499929,461,13563
