id,ts,state
1,"2023-10-05 03:16:01",Alabama
2,"2023-10-05 03:16:01",Alaska
3,"2023-10-05 03:16:01",Arizona
4,"2023-10-05 03:16:01",Arkansas
5,"2023-10-05 03:16:01",California
6,"2023-10-05 03:16:01",Colorado
7,"2023-10-05 03:16:01",Connecticut
8,"2023-10-05 03:16:01",Delaware
9,"2023-10-05 03:16:01","District of Columbia"
10,"2023-10-05 03:16:01",Florida
11,"2023-10-05 03:16:01",Georgia
12,"2023-10-05 03:16:01",Hawaii
13,"2023-10-05 03:16:01",Idaho
14,"2023-10-05 03:16:01",Illinois
15,"2023-10-05 03:16:01",Indiana
16,"2023-10-05 03:16:01",Iowa
17,"2023-10-05 03:16:01",Kansas
18,"2023-10-05 03:16:01",Kentucky
19,"2023-10-05 03:16:01",Louisiana
20,"2023-10-05 03:16:01",Maine
21,"2023-10-05 03:16:01",Maryland
22,"2023-10-05 03:16:01",Massachusetts
23,"2023-10-05 03:16:01",Michigan
24,"2023-10-05 03:16:01",Minnesota
25,"2023-10-05 03:16:01",Mississippi
26,"2023-10-05 03:16:01",Missouri
27,"2023-10-05 03:16:01",Montana
28,"2023-10-05 03:16:01",Nebraska
29,"2023-10-05 03:16:01",Nevada
30,"2023-10-05 03:16:01","New Hampshire"
31,"2023-10-05 03:16:01","New Jersey"
32,"2023-10-05 03:16:01","New Mexico"
33,"2023-10-05 03:16:01","New York"
34,"2023-10-05 03:16:01","North Carolina"
35,"2023-10-05 03:16:01","North Dakota"
36,"2023-10-05 03:16:01",Ohio
37,"2023-10-05 03:16:01",Oklahoma
38,"2023-10-05 03:16:01",Oregon
39,"2023-10-05 03:16:01",Pennsylvania
40,"2023-10-05 03:16:01","Rhode Island"
41,"2023-10-05 03:16:01","South Carolina"
42,"2023-10-05 03:16:01","South Dakota"
43,"2023-10-05 03:16:01",Tennessee
44,"2023-10-05 03:16:01",Texas
45,"2023-10-05 03:16:01",Utah
46,"2023-10-05 03:16:01",Vermont
47,"2023-10-05 03:16:01",Virginia
48,"2023-10-05 03:16:01",Washington
49,"2023-10-05 03:16:01","West Virginia"
50,"2023-10-05 03:16:01",Wisconsin
51,"2023-10-05 03:16:01",Wyoming
